"Prototype Publication Name","Matched Publication Name","Bucket","Prototype Priority","Homepage URL","Parent Org","Match Confidence","Notes","Why Included"
"Los Angeles Times","Los Angeles Times","Major metro influence","Likely RSS candidate","https://www.latimes.com","Los Angeles Times Communications LLC (LATCLLC)","High","","Large metro with visible section architecture; strong early target for opinion-feed discovery."
"The Sacramento Bee","The Sacramento Bee","Major metro influence","Likely RSS candidate","http://www.sacbee.com","McClatchy Papers","High","","High-value Capitol publication; likely structured opinion/category output."
"The San Diego Union-Tribune","The San Diego Union-Tribune","Major metro influence","Likely RSS candidate","http://www.sandiegouniontribune.com","MediaNews Group","High","Large sheet record is an organization/group row with attached child publications","Major daily and good proof point for Southern California coverage."
"San Francisco Chronicle","San Francisco Chronicle","Major metro influence","Likely RSS candidate","http://www.sfchronicle.com","Hearst Corporation","High","","Major statewide-recognition outlet with frequent opinion content."
"The Orange County Register","The Orange County Register","Major metro influence","Likely RSS candidate","http://www.ocregister.com","Southern California News Group (SCNG)","High","Large sheet record is an organization/group row with attached child publications","Large regional paper with recurring commentary/editorial content."
"The Fresno Bee","The Fresno Bee","Major metro influence","Likely RSS candidate","https://www.fresnobee.com","McClatchy Papers","High","","Strong Central Valley anchor and likely good structured feed source."
"The Bakersfield Californian","The Bakersfield Californian","Major metro influence","Likely RSS candidate","http://www.bakersfield.com","Sound California News Media Inc. (SCNMI)","High","","Important Inland/Central Valley signal for statewide balance."
"The Modesto Bee","The Modesto Bee","Major metro influence","Likely RSS candidate","http://www.modbee.com","McClatchy Papers","High","","Another strong Central Valley source with likely opinion section structure."
"Ventura County Star","Ventura County Star","Regional daily","Likely RSS candidate","http://www.vcstar.com","Gannett Company Inc. (GCI)","High","","Gannett property; likely standardized site/feed patterns."
"The Desert Sun","The Desert Sun","Regional daily","Likely RSS candidate","http://www.thedesertsun.com","Gannett Company Inc. (GCI)","High","","Gannett property and useful Inland Empire/Coachella voice."
"The Press Democrat","The Press Democrat","Regional daily","Likely RSS candidate","https://www.pressdemocrat.com","MediaNews Group","High","","Strong North Bay regional daily with likely recurring columns/opinion."
"Monterey County Weekly","Monterey County Weekly","Regional daily","Likely non-RSS opinion page","http://www.montereycountyweekly.com","","High","","Stronger Central Coast choice for the prototype and likely rich in commentary/community voice content."
"Redding Record Searchlight","Redding Record Searchlight","Regional daily","Likely RSS candidate","http://www.redding.com/","Gannett Company Inc. (GCI)","High","","Stronger far-Northern California anchor and likely standardized Gannett feed patterns."
"The Union Democrat","The Union Democrat","Regional daily","Likely non-RSS opinion page","http://www.uniondemocrat.com","","High","","Regional daily likely to have editorials/letters even if dedicated RSS is weaker."
"Santa Maria Times","Santa Maria Times","Regional daily","Likely non-RSS opinion page","https://santamariatimes.com","Santa Maria News Media, Inc. (SMNMI)","High","","Good Central Coast representation; opinion section may be page-first rather than feed-first."
"48 Hills","48 Hills","Independent digital","Likely non-RSS opinion page","http://www.48hills.org","","High","","Opinion-rich independent outlet; likely easy to classify even if not via clean RSS."
"Voice of OC","Voice of OC","Independent digital","Likely RSS candidate","https://voiceofoc.org","","High","","Digital-first site with strong issue commentary and likely structured feeds."
"Capital & Main","Capital & Main","Independent digital","Likely RSS candidate","https://capitalandmain.com","","High","","Digital publication likely to expose category or site-wide feeds."
"The Vallejo Sun","The Vallejo Sun","Independent digital","Likely non-RSS opinion page","https://www.vallejosun.com","","High","","Promising local digital source; may require page monitoring instead of opinion RSS."
"The Mercury News","The Mercury News","Bay Area metro influence","Manual review candidate","http://www.bayareanewsgroup.com/","MediaNews Group","High","Tracked via Bay Area News Group umbrella record; locate Mercury News opinion source from BANG-managed properties.","Add explicit Bay Area News Group flagship coverage for Silicon Valley and broader Bay Area opinion tracking."
"East Bay Times","East Bay Times","Bay Area metro influence","Manual review candidate","http://www.bayareanewsgroup.com/","MediaNews Group","High","Tracked via Bay Area News Group umbrella record; locate East Bay Times opinion source from BANG-managed properties.","Add East Bay News Group coverage to strengthen Bay Area representation in the prototype."
"ChicoSol News","ChicoSol News","Independent digital","Likely non-RSS opinion page","http://chicosol.org","","High","","Smaller digital outlet; likely better handled through page checks."
"The Berkeley Scanner","The Berkeley Scanner","Independent digital","Manual review candidate","https://www.berkeleyscanner.com/","","High","","Strong outlet, but opinion cadence may be limited or absent compared with news."
"A News Café","A News Café","Independent digital","Likely non-RSS opinion page","https://anewscafe.com/","","High","","Community-driven site and likely to include commentary/community voices."
"El Tecolote","El Tecolote","Community and ethnic media","Likely non-RSS opinion page","https://eltecolote.org/content/en/","","High","","Important community voice publication; likely better page/category monitoring than clean opinion RSS."
"Black Voice News","Black Voice News","Community and ethnic media","Likely non-RSS opinion page","http://www.blackvoicenews.com","Brown Publishing Co. LLC","High","","High-value civic/community perspective source; likely strong commentary mix."
"San Fernando Sun Newspaper","San Fernando Sun Newspaper","Community and ethnic media","Likely non-RSS opinion page","https://sanfernandosun.com/","San Fernando Valley Sun and El Sol Newspaper","High","","Use this as the practical substitute for the broader organization entry in the prototype."
"American Community Media","American Community Media","Community and ethnic media","Manual review candidate","https://americancommunitymedia.org/","","High","","May be more organization/network than a straightforward publication feed source."
"Wind Newspaper","Wind Newspaper","Community and ethnic media","Likely non-RSS opinion page","https://www.windnewspaper.com","","High","","Useful ethnic/community perspective; likely requires manual opinion-page check."
"Valley Voice","Valley Voice","Community and ethnic media","Likely non-RSS opinion page","http://www.ourvalleyvoice.com","","High","","Local voice publication likely to have columns/opinion but not necessarily a dedicated RSS feed."
"Comstock's Magazine","Comstock's Magazine","Business and civic","Likely non-RSS opinion page","https://comstocksmag.com","","High","","Useful policy/business lens for Sacramento audience; likely commentary-rich."
"The Business Journal","The Business Journal","Business and civic","Likely non-RSS opinion page","http://www.thebusinessjournal.com","Pacific Publishing Group","High","","Another strong business/civic perspective source for prototype breadth."
